Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,1
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,1
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,1
FDX07,19.2,Regular,0,Fruits and Vegetables,182.095,OUT010,1998,,Tier 3,Grocery Store,1
NCD19,8.93,Low Fat,0,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,1
FDP36,10.395,Regular,0,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,1
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,1
FDP10,,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,1
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,,Tier 2,Supermarket Type1,1
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,,Tier 2,Supermarket Type1,1
FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,1
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,,,,,,1
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,,,,,,2
FDP49,9,Regular,0.069088961,Breakfast,56.3614,,,,,,2
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,,,,,,2
FDP49,9,Regular,0.069196376,Breakfast,54.3614,,,,,,2
DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,,,,,,2
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,,,,,,2
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,,,,,,2
FDW12,,Regular,0.035399923,Baking Goods,144.5444,,,,,,2
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,2
FDC37,,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,2
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,2
NCD06,13,Low Fat,0.099887103,Household,45.906,OUT017,2007,,Tier 2,Supermarket Type1,2
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,2
DRJ59,11.65,low fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,2
,,,,Dairy,45.5086,OUT010,1998,,Tier 3,Grocery Store,2
,,,,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,2
,,,,Dairy,55.7956,OUT010,1998,,Tier 3,Grocery Store,3
,,,,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,3
,,,,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3
,,,,Breads,93.1436,OUT045,2002,,Tier 2,Supermarket Type1,3
